Feature ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
0cca24c759c1e01733b270c2f72d1804	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Acetobacterales	 f__Acetobacteraceae	 g__Acidiphilium	 s__uncultured_bacterium
85b37ceb145632f24247bbf90207df36	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__WD260	 f__WD260	 g__WD260	 s__uncultured_bacterium
f519650b0d6c84c65445299a35a327d2	d__Bacteria	 p__Acidobacteriota	 c__Acidobacteriae	 o__Acidobacteriales	 f__Acidobacteriaceae_(Subgroup_1)	 g__Granulicella	 s__bacterium_enrichment
54200b2327928576aa5ffa22eb44c545	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Pseudomonadaceae	 g__Pseudomonas	 s__Pseudomonas_reactans
9b7c126253bac290523a9621f0ea06d6	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micrococcales	 f__Microbacteriaceae	 g__Amnibacterium	 s__uncultured_bacterium
b6e0b883e1a17f2485fa50897a69afaf	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Beijerinckiaceae	 g__1174-901-12	 s__uncultured_bacterium
a4fd20b2d3b3b29e889873e967450637	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Caulobacteraceae	 g__uncultured	 s__uncultured_Alphaproteobacteria
f135f171dcc3afe2a68ff73ca618c0cc	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Isosphaerales	 f__Isosphaeraceae	 g__Aquisphaera	
b0d7fc2cb12bce8bc009b95dfc7cf0d0	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Punica_granatum
e0bb3f48c791f54d5624e8a73d24d686	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Xanthobacteraceae		
9f39b4c82ce8cdeeb8bca0faebe6e2be	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Paenibacillales	 f__Paenibacillaceae	 g__Paenibacillus	
9afbf14bfcd4822a1525745b71a7a0a2	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Caulobacteraceae		
60fa5c7a4b9400820a868ebf0f45f6a9	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae	 g__Rubellimicrobium	 s__uncultured_bacterium
51eb24336e0fff886cdada5f5bd38eb0	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae	 g__uncultured	 s__uncultured_Ferruginibacter
ccaff8a4baca836e5cdaacf3d2b14191	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Bacillales	 f__Planococcaceae	 g__Planococcus	
3c22ebafbc4c26209427f562062d7fdb	d__Bacteria	 p__Actinobacteriota	 c__Rubrobacteria	 o__Rubrobacterales	 f__Rubrobacteriaceae	 g__Rubrobacter	
12c1432060371431f7b9063a8939ba63	d__Bacteria	 p__Actinobacteriota	 c__Thermoleophilia	 o__Solirubrobacterales	 f__Solirubrobacteraceae	 g__Patulibacter	 s__uncultured_bacterium
b83ff16629df218b433cf178b6e3ca4c	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Corynebacteriales	 f__Nocardiaceae	 g__Gordonia	 s__uncultured_Gordonia
5dd0a371ea884e5206fa63b36c11a01b	d__Bacteria	 p__Actinobacteriota	 c__Thermoleophilia	 o__Gaiellales	 f__uncultured	 g__uncultured	
2858b5a691309a6dc2b94813607bbeea	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Bacillales	 f__Bacillaceae	 g__Bacillus	 s__Bacillus_huizhouensis
a1755ec31d9d62a7328cbcb73ba0a47a	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Bacillales	 f__Bacillaceae	 g__Bacillus	 s__Bacillus_huizhouensis
fac519ed6d4e8c72cf9d7111cf4c4549	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Paenibacillales	 f__Paenibacillaceae	 g__Paenibacillus	 s__Paenibacillus_daejeonensis
448d9c7fcda7fac9e0f75153b0049edc	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Acetobacterales	 f__Acetobacteraceae		
eb7caa62fb7dc52d9c2a33e2b8072c38	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Carnobacteriaceae	 g__Alloiococcus	 s__uncultured_bacterium
7db5c17cf32572c0888ba4484a515d1e	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Isosphaerales	 f__Isosphaeraceae	 g__uncultured	 s__uncultured_bacterium
b6de2b42468da1de9095c08461a37947	d__Bacteria	 p__Acidobacteriota	 c__Acidobacteriae	 o__Acidobacteriales	 f__Acidobacteriaceae_(Subgroup_1)	 g__Acidipila	 s__uncultured_bacterium
c5da8f9bdfe67ece0161b22f4b9a5ee0	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Lachnospirales	 f__Lachnospiraceae		
b4e2dd16e1a38f99a6dfe15581cee7d4	d__Bacteria	 p__Desulfobacterota	 c__Desulfobulbia	 o__Desulfobulbales	 f__Desulfocapsaceae	 g__uncultured	 s__uncultured_bacterium
2309794fcc6391afd0a00b889fb076dd	d__Bacteria	 p__Acidobacteriota	 c__Vicinamibacteria	 o__Subgroup_17	 f__Subgroup_17	 g__Subgroup_17	 s__uncultured_bacterium
d30774d5f7789cb58a84e252254f6dc8	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Beijerinckiaceae	 g__Psychroglaciecola	 s__Psychroglaciecola_arctica
84daaabba9f3343a7aef495373c51c4c	d__Bacteria	 p__Actinobacteriota	 c__Thermoleophilia	 o__Solirubrobacterales	 f__Solirubrobacteraceae	 g__uncultured	 s__uncultured_Conexibacteraceae
