SampleID	Island	Abbreviation	Species	Band Number	Year 	Date Collected	Month	Location	Foraging Guild
2721-50749-COI	Big Island	APAP	Apapane	2721-50749	2019	11/6/19	NA	KIPA	Nectarivore
2721-50774-COI	Big Island	APAP	Apapane	2721-50774	2019	11/7/19	NA	KIPA	Nectarivore
2821-57854-COI	Maui	APAP	Apapane	2821-57854	2019	11/7/19	NA	CHAR005	Nectarivore
2591-08250-COI	Maui	APAP	Apapane	2591-08250	2019	11/25/19	NA	PKEA016	Nectarivore
2591-08246-COI	Maui	APAP	Apapane	2591-08246	2019	12/5/19	NA	WEST030	Nectarivore
2591-08264-COI	Maui	APAP	Apapane	2591-08264	2019	12/5/19	NA	WEST	Nectarivore
2821-57874-COI	Maui	APAP	Apapane	2821-57874	2019	12/5/19	NA	WEST029	Nectarivore
2591-08294-COI	Big Island	APAP	Apapane	2591-08294	2020	1/17/20	NA	PUAK	Nectarivore
2591-08300-COI	Big Island	APAP	Apapane	2591-08300	2020	1/28/20	NA	PUAK	Nectarivore
1881-73672-COI	Big Island	APAP	Apapane	1881-73672	2020	4/21/20	NA	KIVO	Nectarivore
1881-73673-COI	Big Island	APAP	Apapane	1881-73673	2020	4/22/20	NA	KIVO	Nectarivore
1881-73676-COI	Big Island	APAP	Apapane	1881-73676	2020	4/24/20	NA	BYLE	Nectarivore
1881-73687-COI	Big Island	APAP	Apapane	1881-73687	2020	4/28/20	NA	KIPA	Nectarivore
2631-36269-COI	Maui	APAP	Apapane	2631-36269	2020	6/7/20	NA	FSB	Nectarivore
2631-36271-COI	Maui	APAP	Apapane	2631-36271	2020	6/7/20	NA	FSB	Nectarivore
2631-36272-COI	Maui	APAP	Apapane	2631-36272	2020	6/7/20	NA	FSB	Nectarivore
1881-73720-COI	Big Island	APAP	Apapane	1881-73720	2020	6/9/20	NA	KONA	Nectarivore
2591-56427-COI	Maui	APAP	Apapane	2591-56427	2020	6/9/20	NA	FSB	Nectarivore
2591-56430-COI	Maui	APAP	Apapane	2591-56430	2020	6/20/20	NA	HR2	Nectarivore
2631-36258-COI	Maui	APAP	Apapane	2631-36258	2020	6/20/20	NA	Classic	Nectarivore
2631-36259-COI	Maui	APAP	Apapane	2631-36259	2020	6/20/20	NA	Classic	Nectarivore
2591-56438-COI	Maui	APAP	Apapane	2591-56438	2020	6/21/20	NA	HR2	Nectarivore
2631-36250-COI	Maui	APAP	Apapane	2631-36250	2020	6/21/20	NA	Classic	Nectarivore
2771-14774-COI	Big Island	APAP	Apapane	2771-14774	2020	6/29/20	NA	KONA	Nectarivore
2631-37362-COI	Maui	HAAM	Hawaii Amakihi 	2631-37362	2019	5/11/19	NA	NAK	Generalist
2631-37365-COI	Maui	HAAM	Hawaii Amakihi 	2631-37365	2019	5/11/19	NA	NAK	Generalist
2591-56400-COI	Maui	HAAM	Hawaii Amakihi 	2591-56400	2019	5/12/19	NA	NAK	Generalist
2631-37373-COI	Maui	HAAM	Hawaii Amakihi 	2631-37373	2019	5/12/19	NA	NAK	Generalist
2631-37374-COI	Maui	HAAM	Hawaii Amakihi 	2631-37374	2019	5/12/19	NA	NAK	Generalist
2631-37375-COI	Maui	HAAM	Hawaii Amakihi 	2631-37375	2019	5/12/19	NA	NAK	Generalist
1821-67452-COI	Maui	HAAM	Hawaii Amakihi 	1821-67452	2019	6/6/19	NA	PALIKU	Generalist
1821-67457-COI	Maui	HAAM	Hawaii Amakihi 	1821-67457	2019	6/6/19	NA	PALIKU	Generalist
